tweet_id,text,label
1233298447396110337,Coronavirus: Fake news is spreading fast. This piece has annoyed one of the 5G conspiracy theorists so much he’s resorted to full caps and a complaint to the BBC. https://t.co/vzuIJCOaIF,NOT_SARCASM
1233437293345533953,"Some freaks out there are desperately trying to link the coronavirus to 5G, even though there's more than 17 years that the phone wireless hoax from Dr Curry in 2000 has been debunked. They just are the unknowingly stooges of West Vs China, because... Yeah... China is SO BAD 😜",SARCASM
1233493095595024386,"Wuhan,S. Korea,Iran,Italy,those cruise ships with the ""corona virus"" cases,were ALL using 5G and millimeter waves,ie: 60 Ghz,which absorbs oxygen,which causes all the symptoms we have heard about.",NOT_SARCASM
1233450196291461121,"TIL that there is a conspiracy theory that revolves around the coronavirus outbreak and 5G. #FunFactFriday, IG? https://t.co/txqaH3Ao5l",NOT_SARCASM
1233403034664939522,Oh and here’s the latest comment on a Facebook post attacking my story about 5G/Coronavirus conspiracy theories https://t.co/nNs2t1Q26f,NOT_SARCASM
1233209505380368384,"F**k me, people believe that #Coronavirus is caused by 5G.",SARCASM
1228027414296616965,"It's gonna be okay guys, my mom figured out it's wifi and 5G that causes Corona virus.",SARCASM
1225844731038572544,The coronavirus being caused by 5G is my new favorite take,SARCASM
1227020001464520705,5G is an anti-life technology it’s military weaponry disguised as telecommunications convenience broadcasting it is like a laser millimeters wave exposure causes damage in seconds it causes antibiotic resistance (leading to superbugs) like corona virus,NOT_SARCASM
1228614479832866818,Corona virus might actually be from the 5G activities in China #5G is not safe!,NOT_SARCASM
1233671077114470400,"A lot of conspiracy theories are dumb, but “coronavirus is a byproduct of 5G” is really really dumb. Starting to see it in the wild over on ye olde Facebook",SARCASM
1233890921923481600,"@antihero_kate Well, I saw one last night talking about how coronavirus is a hoax, and really this disease is a side effect of 5G technology, which is reactivating viruses “dormant” because of vaccines.  You can’t make this stuff up.",SARCASM
1233781738964443142,dont believe that 5g causes the #coronavirus its already launched in usa and we are not getting major reports of the virus https://t.co/IIOJGYvOUl,NOT_SARCASM
1233870134885769216,@nytimes Masks are not helpful because 5G breaks your immune system and coronavirus kills you. Stop the 5G right now!!,NOT_SARCASM
1232424080755830790,Call me a conspiracy theorist. 5G and Coronavirus. They correlate.,SARCASM
1232317385006292994,@Moeshonline @LickshotLippy I'm sure next you'll be telling me the earth is flat or 5G caused Corona Virus,SARCASM
1232395009615421440,"New excuse for not buying an expensive phone with limited coverage: ""#Coronavirus to hit #5G smartphone sales in 2020"" https://t.co/tuivPHZ4ET https://t.co/bBTfFPZlP4",SARCASM
1230828648426504192,China faces delay in 5G mobile network due coronavirus https://t.co/hHDkhRBtg6,NOT_SARCASM
1229515465170595840,"The coronavirus 5G conspiracy theory is so wild, I just can’t imagine people genuinely believing this stuff",SARCASM
1224039031467438081,"LOL. On seeing the chem trail crowd think Coronavirus was caused by China turning on 5g network, I think it's time to limp off to work.",SARCASM
