Tweet ID,Mis Prob,Counter Mis Prob,Unrelated Prob,Label,Text,Created At,Is Retweet,Language,User ID,User Location,"label (0:misinformation, 1: counter-misinformation, 2: irrelevant)"
1233516325261148168,0.0160126539308999,0.9798135246517924,0.0173795830622311,1,"This is the top trump of tin foil hat conspiracy nonsense - coronavirus, chemtrails, vaccines, and 5G https://t.co/7b7dymSkUA",Fri Feb 28 22:16:24 +0000 2020,False,en,223565758,"Gleann Rathais, Scotland",1
1233331372472836097,0.0280903131185742,0.4545900090214556,0.4776301721845755,3,IAM Platform Curated Tweet:  Social media conspiracies blame coronavirus on 5G internet   https://t.co/CIShmti0F2  #5G #Applications #CellPhone #Communications #FastInternet #InternetWP2TWTR1,Fri Feb 28 10:01:28 +0000 2020,False,en,226310002,Worldwide,1
1233256673189429248,0.0759060252392731,0.9282259247086154,0.0092514913552459,1,@TechCrunch @bheater Conspiracy has it that this is the company that rolled out 5g in China and is the real cause of the #coronavirus ....interesting conspiracy,Fri Feb 28 05:04:38 +0000 2020,False,en,929551730181902336,"Michigan, USA",1
1233526318752550912,0.0254102615379785,0.9288890546917554,0.0194915057293022,1,"@jeannette_ng There’s another that’s raising its head now: conspiracy theories that deny Covid19 is a natural disease. They’ve decided it’s a bio weapon developed in China &amp; activated by chem trails &amp; 5g microwaves. So, they say, public health measures are actually counterproductive.",Fri Feb 28 22:56:06 +0000 2020,False,en,99804769,Traditional Chinook Land,1
1233225804957413377,0.098849518887039,0.9732415645798912,0.0026218984046185,1,"So my bass teacher is an old hippie who very clearly messed up his brains a fair bit during his free love years, which leads to some strange pathways. Because of some YouTube videos and conspiracy sites he's convinced the Coronavirus is actually 5g destroying hemoglobin",Fri Feb 28 03:01:58 +0000 2020,False,en,822663839472906242,"Washington, USA",1
1233223673286471681,0.0408171977337321,0.2294022987191134,0.7111669782404803,2,@treasureswonder jQnah @JfkJuni0r · 8h Corona virus won't happen in the United States.   5G will not take place under trump,Fri Feb 28 02:53:30 +0000 2020,False,en,361440269,TRUTH over Parties,2
1233473918477963265,0.0920925934888368,0.7139107078758854,0.0597440382518209,1,Oh dear. It’s like conspiracy theory madlibs: “You can now find posts accusing governments of engineering Covid-19 in a laboratory or that 5G has weakened people's immune systems making them vulnerable to the virus.” https://t.co/AbpLgP5Y39,Fri Feb 28 19:27:53 +0000 2020,False,en,10064382,"Manchester, UK",1
1233409703843172352,0.4200382523483108,0.0040806843280188,0.6600037971474645,2,@realDonaldTrump   @senatemajldr  @GOPLeader  @LouDobbs  @seanhannity   China has realeased a new High Powered 5G phone.  It has been said it causes the same symptoms as the Coronavirus.  China is heavy invested in this phone along with George Soros.  This needs checked out!,Fri Feb 28 15:12:43 +0000 2020,False,en,1207772917918044174,,0
1233497139629543424,0.9304634446265688,0.0813518305140615,0.0078610160663282,0,"Covid 19, Wuhan, Corona...is the misnaming of this 'disease' indicative of us nit understanding the true cause. As indicated below this may be an 'allergic reaction' to 5G tech   https://t.co/Q4Fg4Xpcsc https://t.co/wIW3JXQ8UF",Fri Feb 28 21:00:10 +0000 2020,False,en,1229236325603147778,Buckeye AZ,0
1233408759201964038,0.0013860975003715,0.9969815029941456,0.0181768164649667,1,"This coronavirus conspiracy theory is pretty impressive. It combines antivaxx, chemtrails, 5G and Trump’s space force in one compact bundle of insanity https://t.co/zvywZz6JGR",Fri Feb 28 15:08:58 +0000 2020,False,en,142471322,Stoke-on-Trent,1
